platform,station_id,station_nm,charger_id,operating,open_dt,kw,install_dt,contract_1,contract_2,contract,mixed,address,area_1,area_2,as_div,as_team,sales_div,sales_team,install_rate,facility_type_2,parking_cnt
signet,HNS001086,강원 강문동 세인트존스호텔,HNS00108601,y,2022-12-01,7kW,2022-12-12,보조금,환경부,환경부,혼합,"강원 강릉시 창해로 307 (강문동, 세인트존스 호텔)",강원,강릉시,중부,영동,중부,영동지점,0.024,숙박시설,738
signet,HNS001086,강원 강문동 세인트존스호텔,HNS00108602,y,2022-12-01,7kW,2022-12-12,보조금,환경부,환경부,혼합,"강원 강릉시 창해로 307 (강문동, 세인트존스 호텔)",강원,강릉시,중부,영동,중부,영동지점,0.024,숙박시설,738
signet,HNS001086,강원 강문동 세인트존스호텔,HNS00108603,y,2022-12-01,7kW,2022-12-12,보조금,환경부,환경부,혼합,"강원 강릉시 창해로 307 (강문동, 세인트존스 호텔)",강원,강릉시,중부,영동,중부,영동지점,0.024,숙박시설,738
signet,HNS001086,강원 강문동 세인트존스호텔,HNS00108604,y,2022-12-01,7kW,2022-12-12,보조금,환경부,환경부,혼합,"강원 강릉시 창해로 307 (강문동, 세인트존스 호텔)",강원,강릉시,중부,영동,중부,영동지점,0.024,숙박시설,738
signet,HNS001086,강원 강문동 세인트존스호텔,HNS00108605,y,2022-12-01,7kW,2022-12-12,보조금,환경부,환경부,혼합,"강원 강릉시 창해로 307 (강문동, 세인트존스 호텔)",강원,강릉시,중부,영동,중부,영동지점,0.024,숙박시설,738
signet,HNS001086,강원 강문동 세인트존스호텔,HNS00108606,y,2022-12-01,7kW,2022-12-13,보조금,환경부,환경부,혼합,"강원 강릉시 창해로 307 (강문동, 세인트존스 호텔)",강원,강릉시,중부,영동,중부,영동지점,0.024,숙박시설,738
signet,HNS001086,강원 강문동 세인트존스호텔,HNS00108607,y,2022-12-01,7kW,2022-12-13,보조금,환경부,환경부,혼합,"강원 강릉시 창해로 307 (강문동, 세인트존스 호텔)",강원,강릉시,중부,영동,중부,영동지점,0.024,숙박시설,738
signet,HNS001086,강원 강문동 세인트존스호텔,HNS00108608,y,2022-12-01,7kW,2022-12-13,보조금,환경부,환경부,혼합,"강원 강릉시 창해로 307 (강문동, 세인트존스 호텔)",강원,강릉시,중부,영동,중부,영동지점,0.024,숙박시설,738
signet,HNS001086,강원 강문동 세인트존스호텔,HNS00108609,y,2022-12-01,7kW,2022-12-13,보조금,환경부,환경부,혼합,"강원 강릉시 창해로 307 (강문동, 세인트존스 호텔)",강원,강릉시,중부,영동,중부,영동지점,0.024,숙박시설,738
signet,HNS001086,강원 강문동 세인트존스호텔,HNS00108610,y,2023-02-01,7kW,2023-02-13,투자금,투자금,투자금,혼합,"강원 강릉시 창해로 307 (강문동, 세인트존스 호텔)",강원,강릉시,중부,영동,중부,영동지점,0.024,숙박시설,738
signet,HNS001086,강원 강문동 세인트존스호텔,HNS00108611,y,2023-02-01,7kW,2023-02-13,투자금,투자금,투자금,혼합,"강원 강릉시 창해로 307 (강문동, 세인트존스 호텔)",강원,강릉시,중부,영동,중부,영동지점,0.024,숙박시설,738
